-0.595964, -7.413526, 0.000000, 0.004430
-0.595960, -7.413526, 0.000000, 0.008704
-0.595951, -7.413526, 0.000000, 0.012980
-0.595938, -7.413526, 0.000000, 0.017201
-0.595920, -7.413526, 0.000000, 0.021620
-0.595899, -7.413526, 0.000000, 0.025834
-0.595873, -7.413526, 0.000000, 0.030088
-0.595844, -7.413526, 0.000001, 0.034103
-0.595808, -7.413526, 0.000002, 0.038533
-0.595770, -7.413526, 0.000003, 0.042715
-0.595726, -7.413526, 0.000005, 0.047009
-0.595683, -7.413526, 0.000008, 0.050868
-0.595630, -7.413526, 0.000012, 0.055235
-0.595573, -7.413526, 0.000016, 0.059513
-0.595514, -7.413526, 0.000021, 0.063681
-0.595454, -7.413526, 0.000027, 0.067619
-0.595385, -7.413526, 0.000034, 0.071843
-0.595311, -7.413526, 0.000043, 0.076102
-0.595237, -7.413526, 0.000052, 0.080111
-0.595160, -7.413526, 0.000063, 0.084047
-0.595070, -7.413526, 0.000076, 0.088453
-0.594983, -7.413526, 0.000089, 0.092503
-0.594889, -7.413526, 0.000105, 0.096652
-0.594797, -7.413526, 0.000121, 0.100532
-0.594695, -7.413526, 0.000139, 0.104680
-0.594590, -7.413526, 0.000160, 0.108759
-0.594481, -7.413525, 0.000182, 0.112812
-0.594372, -7.413525, 0.000205, 0.116745
-0.594250, -7.413525, 0.000232, 0.120970
-0.594126, -7.413525, 0.000261, 0.125090
-0.594003, -7.413525, 0.000291, 0.129047
-0.593881, -7.413525, 0.000322, 0.132854
-0.593743, -7.413525, 0.000358, 0.136994
-0.593600, -7.413525, 0.000397, 0.141187
-0.593466, -7.413525, 0.000435, 0.144969
-0.593316, -7.413525, 0.000478, 0.149072
-0.593167, -7.413525, 0.000523, 0.153043
-0.593016, -7.413525, 0.000570, 0.156955
-0.592858, -7.413525, 0.000621, 0.160953
-0.592707, -7.413525, 0.000671, 0.164652
-0.592537, -7.413525, 0.000729, 0.168706
-0.592364, -7.413525, 0.000789, 0.172746
-0.592189, -7.413524, 0.000852, 0.176704
-0.592025, -7.413524, 0.000913, 0.180349
-0.591836, -7.413524, 0.000985, 0.184424
-0.591647, -7.413524, 0.001058, 0.188425
-0.591465, -7.413524, 0.001131, 0.192176
-0.591273, -7.413524, 0.001210, 0.196053
